,,model,0
Accuracy,mean,SVM,0.7614891774891775
Accuracy,std,Knn,0.005871733776330514
Accuracy,std,Linear,0.00597970138568058
Accuracy,std,RF,0.006175825327619015
Accuracy,std,SVM,0.003557393137281454
Accuracy,min,Knn,0.6961038961038961
Accuracy,min,Linear,0.7285714285714285
Accuracy,min,RF,0.7272727272727273
Accuracy,min,SVM,0.7532467532467533
Accuracy,25%,Knn,0.7042207792207792
Accuracy,25%,Linear,0.7402597402597403
Accuracy,25%,RF,0.7376623376623377
Accuracy,25%,SVM,0.7584415584415585
Accuracy,50%,Knn,0.7090909090909091
Accuracy,50%,Linear,0.7441558441558442
Accuracy,50%,RF,0.7415584415584415
Accuracy,50%,SVM,0.7623376623376623
Accuracy,75%,Knn,0.712987012987013
Accuracy,75%,Linear,0.7480519480519481
Accuracy,75%,RF,0.7467532467532468
Accuracy,75%,SVM,0.7636363636363637
Accuracy,max,Knn,0.7246753246753246
Accuracy,max,Linear,0.7610389610389611
Accuracy,max,RF,0.7584415584415585
Accuracy,max,SVM,0.77012987012987
EC_Class,count,Knn,150.0
EC_Class,count,Linear,150.0
EC_Class,count,RF,150.0
EC_Class,count,SVM,150.0
EC_Class,mean,Knn,0.6423582238670293
EC_Class,mean,Linear,0.7467275860364311
EC_Class,mean,RF,0.6917375414550264
EC_Class,mean,SVM,0.8207549033927234
EC_Class,std,Knn,0.018699933079037286
EC_Class,std,Linear,0.037552247354271075
EC_Class,std,RF,0.026968709300001052
EC_Class,std,SVM,0.02962331833093458
EC_Class,min,Knn,0.5870108765697681
EC_Class,min,Linear,0.6485378560954634
EC_Class,min,RF,0.6167955250314929
EC_Class,min,SVM,0.7325196617269787
EC_Class,25%,Knn,0.6315314251139085
EC_Class,25%,Linear,0.7191549199751772
EC_Class,25%,RF,0.674127759776436
EC_Class,25%,SVM,0.7989536553842311
EC_Class,50%,Knn,0.6424376458148627
EC_Class,50%,Linear,0.7420944413431879
EC_Class,50%,RF,0.6908304923508881
EC_Class,50%,SVM,0.8220362507724435
EC_Class,75%,Knn,0.6525615683270921
EC_Class,75%,Linear,0.7746155621279206
EC_Class,75%,RF,0.7087003074461641
EC_Class,75%,SVM,0.842130114927287
