,,model,0
Accuracy,mean,SVM,0.780328888888889
Accuracy,std,Knn,0.006797967265007789
Accuracy,std,Linear,0.002572366971669796
Accuracy,std,RF,0.004712982055011205
Accuracy,std,SVM,0.0009260394660687358
Accuracy,min,Knn,0.732
Accuracy,min,Linear,0.7626666666666666
Accuracy,min,RF,0.7666666666666667
Accuracy,min,SVM,0.7733333333333334
Accuracy,25%,Knn,0.748
Accuracy,25%,Linear,0.7653333333333332
Accuracy,25%,RF,0.7746666666666666
Accuracy,25%,SVM,0.78
Accuracy,50%,Knn,0.7526666666666667
Accuracy,50%,Linear,0.7666666666666666
Accuracy,50%,RF,0.7773333333333333
Accuracy,50%,SVM,0.78
Accuracy,75%,Knn,0.7573333333333333
Accuracy,75%,Linear,0.768
Accuracy,75%,RF,0.78
Accuracy,75%,SVM,0.7813333333333332
Accuracy,max,Knn,0.7706666666666667
Accuracy,max,Linear,0.7746666666666666
Accuracy,max,RF,0.7906666666666669
Accuracy,max,SVM,0.7826666666666666
EC_Class,count,Knn,150.0
EC_Class,count,Linear,150.0
EC_Class,count,RF,150.0
EC_Class,count,SVM,150.0
EC_Class,mean,Knn,0.6694678145105002
EC_Class,mean,Linear,0.925552059930388
EC_Class,mean,RF,0.7344529711816776
EC_Class,mean,SVM,0.9780644342413695
EC_Class,std,Knn,0.02735863786301052
EC_Class,std,Linear,0.02548297599305155
EC_Class,std,RF,0.021906740351450665
EC_Class,std,SVM,0.020075984704051694
EC_Class,min,Knn,0.5914963928890031
EC_Class,min,Linear,0.8433538801959853
EC_Class,min,RF,0.6786771596471719
EC_Class,min,SVM,0.8969042232277527
EC_Class,25%,Knn,0.6516156525984939
EC_Class,25%,Linear,0.9122173644232467
EC_Class,25%,RF,0.7198750378624321
EC_Class,25%,SVM,0.9647058823529412
EC_Class,50%,Knn,0.6674839899381566
EC_Class,50%,Linear,0.9293240420872
EC_Class,50%,RF,0.7338968290094356
EC_Class,50%,SVM,0.9764705882352942
EC_Class,75%,Knn,0.6845115403729354
EC_Class,75%,Linear,0.940363464968728
EC_Class,75%,RF,0.7512953457361353
EC_Class,75%,SVM,1.0
EC_Class,max,Knn,0.7756204418819783
EC_Class,max,Linear,0.9888888888888888
EC_Class,max,RF,0.8147281492018333
