,,model,0
Accuracy,mean,SVM,0.9350427350427349
Accuracy,std,Knn,0.009774727062360208
Accuracy,std,Linear,0.009808435086105032
Accuracy,std,RF,0.010323933070221843
Accuracy,std,SVM,0.006843340680826265
Accuracy,min,Knn,0.8205128205128205
Accuracy,min,Linear,0.917948717948718
Accuracy,min,RF,0.9025641025641026
Accuracy,min,SVM,0.9128205128205128
Accuracy,25%,Knn,0.8358974358974359
Accuracy,25%,Linear,0.9487179487179488
Accuracy,25%,RF,0.917948717948718
Accuracy,25%,SVM,0.9333333333333332
Accuracy,50%,Knn,0.841025641025641
Accuracy,50%,Linear,0.9538461538461538
Accuracy,50%,RF,0.928205128205128
Accuracy,50%,SVM,0.9333333333333332
Accuracy,75%,Knn,0.8512820512820513
Accuracy,75%,Linear,0.9589743589743591
Accuracy,75%,RF,0.9333333333333332
Accuracy,75%,SVM,0.9384615384615383
Accuracy,max,Knn,0.8717948717948719
Accuracy,max,Linear,0.9794871794871796
Accuracy,max,RF,0.9538461538461538
Accuracy,max,SVM,0.9487179487179488
EC_Class,count,Knn,150.0
EC_Class,count,Linear,150.0
EC_Class,count,RF,150.0
EC_Class,count,SVM,150.0
EC_Class,mean,Knn,0.5977315295815296
EC_Class,mean,Linear,0.2483087301587301
EC_Class,mean,RF,0.4869777777777778
EC_Class,mean,SVM,0.7027777777777777
EC_Class,std,Knn,0.0755837218137297
EC_Class,std,Linear,0.11040946889271375
EC_Class,std,RF,0.11952590704896869
EC_Class,std,SVM,0.14371880774528634
EC_Class,min,Knn,0.4039430014430015
EC_Class,min,Linear,0.06
EC_Class,min,RF,0.1999999999999999
EC_Class,min,SVM,0.4016666666666666
EC_Class,25%,Knn,0.550218253968254
EC_Class,25%,Linear,0.1666666666666666
EC_Class,25%,RF,0.39874999999999994
EC_Class,25%,SVM,0.5541666666666667
EC_Class,50%,Knn,0.5961706349206349
EC_Class,50%,Linear,0.22249999999999995
EC_Class,50%,RF,0.4716666666666667
EC_Class,50%,SVM,0.76
EC_Class,75%,Knn,0.6400099206349206
EC_Class,75%,Linear,0.31458333333333327
EC_Class,75%,RF,0.5666666666666667
EC_Class,75%,SVM,0.8
EC_Class,max,Knn,0.8273809523809523
EC_Class,max,Linear,0.6
EC_Class,max,RF,0.8
EC_Class,max,SVM,1.0
EC_ratio,count,Knn,150.0
EC_ratio,count,Linear,150.0
EC_ratio,count,RF,150.0
EC_ratio,count,SVM,150.0
EC_ratio,mean,Knn,0.7801111111111112
EC_ratio,mean,Linear,0.6521320052787462
EC_ratio,mean,RF,0.5570854988255527
EC_ratio,mean,SVM,0.8009503550888561
EC_ratio,std,Knn,0.021210320029434244
EC_ratio,std,Linear,0.02282787730432822
EC_ratio,std,RF,0.026393814823049835
