,MSqE,MAE,MAPE,R2,Accuracy,model,EC_Class,EC_ratio,EC_ratio-diff,EC_ratio-signed,EC_ratio-diff-signed,EC_intersection_union_sample,EC_intersection_union_all,EC_intersection_union_distance
79,0.09609256710614808,0.2463400195677814,-2554.7484275775323,0.14025414959734578,0.9435897435897436,Linear,0.45,0.6302680231940684,0.26453769478668354,0.5154343260944242,0.13817803495654513,0.5728511746442462,0.6658324461356331,0.09915744931405802
80,0.0959452895692344,0.24555327279997488,-2359.178438728874,0.141571850383497,0.9435897435897436,Linear,0.4083333333333333,0.633974439656532,0.26900119341181195,0.5355255783225586,0.1603117115656552,0.5847500089895452,0.7117771538547156,0.08318258151150348
81,0.09617539553313458,0.2464876521966092,-2424.5469802394327,0.13951307878883717,0.9589743589743589,Linear,0.3,0.6535730663435452,0.24585170257585498,0.5310786106726418,0.10492392124213996,0.5923258385080935,0.6931517508563029,0.08974739424966827
82,0.09906646889968425,0.24831424370658714,-2521.548202187324,0.11364647531517813,0.9487179487179487,Linear,0.16999999999999998,0.660044438700802,0.2378056143819153,0.5222826892979818,0.11154755390253378,0.5911635639993919,0.6756613425628751,0.09694348518800458
83,0.09734353124481421,0.24792404247150263,-2550.825504669581,0.1290616998625743,0.9435897435897436,Linear,0.20666666666666664,0.6468638545444735,0.2535258247062797,0.5496572743278475,0.10806071870147418,0.5982605644361605,0.6939695857287983,0.0904220078158254
84,0.09663614877757329,0.24610184934243579,-2437.102934894915,0.13539069240771204,0.9487179487179487,Linear,0.13666666666666666,0.611568243210417,0.28521554220439643,0.5157350020278689,0.14711792197959356,0.5636516226191429,0.6650723697989427,0.09937178997428754
85,0.09695184783006142,0.24560030443831887,-2436.905289137758,0.13256611441456842,0.9435897435897436,Linear,0.5416666666666666,0.6420880602968617,0.2589813607636825,0.5487244937115039,0.152912889182268,0.5954062770041828,0.705574814644968,0.08500561237990391
86,0.09474071137486094,0.24511129702465206,-2386.91034180688,0.1523492823460971,0.9589743589743589,Linear,0.21666666666666665,0.7024276864671186,0.2101711772487021,0.6000787844349315,0.10289134081142318,0.6512532354510251,0.7632772962691498,0.0659944300511928
87,0.09621573918141871,0.24411023356217618,-2544.911603638181,0.13915212179448322,0.9384615384615385,Linear,0.295,0.6674912733697801,0.2356264533500183,0.5900038003575104,0.13173580710120741,0.6287475368636453,0.7341453583348463,0.07603557087726061
88,0.09609626721623796,0.24510482910659973,-2358.794041260625,0.14022104449471817,0.9538461538461538,Linear,0.3083333333333333,0.6399447314472391,0.26334293186184876,0.5414290982170681,0.14612524566004198,0.5906869148321535,0.700637213054517,0.08712365559242441
