,MSqE,MAE,MAPE,R2,Accuracy,model,EC_Class,EC_ratio,EC_ratio-diff,EC_ratio-signed,EC_ratio-diff-signed,EC_intersection_union_sample,EC_intersection_union_all,EC_intersection_union_distance
0,0.1481410401840483,0.31702879911661147,-16962.026507221453,0.1367072250346837,0.7666666666666668,Linear,0.9445813460519343,0.8959425834521675,0.06454676975363073,0.8882758060858092,0.05298396503023647,0.8921091947689883,0.9461002051870295,0.017588647486105714
1,0.14815011971836262,0.31711431468982954,-16961.453002181515,0.13665431399555605,0.7706666666666667,Linear,0.8809953141996486,0.9137679396842543,0.05055982979373268,0.9115105622114582,0.04359898868491439,0.9126392509478561,0.9524589474871729,0.015489866937284063
2,0.14838019880075642,0.31735466263273826,-16988.788326825677,0.1353135268021189,0.7706666666666667,Linear,0.8806317927834957,0.8803466592748279,0.07141894036590155,0.8666161972061655,0.06414618289192808,0.8734814282404967,0.9250946456419479,0.024796418327245225
3,0.14816566126445213,0.3171633377264941,-16969.33500011017,0.1365637455451509,0.764,Linear,0.9453453453453454,0.9097520853285308,0.05348487807867143,0.9035194497157487,0.0406404918982853,0.9066357675221398,0.9506860514226995,0.016054649150380157
4,0.14831780823765467,0.3172782813702089,-16979.700904128928,0.13567710817217593,0.7706666666666667,Linear,0.8962205062205063,0.8865033346756381,0.06706262863297194,0.8783537167294891,0.0586096837831599,0.8824285257025636,0.9278875932140735,0.023871784857894103
5,0.14814327618908762,0.31711806319507413,-16957.97657833651,0.13669419470228666,0.7626666666666667,Linear,0.9454204204204204,0.924310987245977,0.04470886262148417,0.9242039118726395,0.03958445967945478,0.9242574495593083,0.9595245796412705,0.01311546110898981
6,0.14806139030559634,0.3170371297648356,-16957.331623474445,0.13717138516552263,0.7666666666666666,Linear,0.9290756900199625,0.9343219365474327,0.03816780823449568,0.9343219365474327,0.03816780823449568,0.9343219365474327,0.9651688989417583,0.011271482764042792
7,0.14829490391876385,0.3172032418647409,-16981.6282826717,0.13581058322398698,0.7666666666666666,Linear,0.9445774345774346,0.8822348824384705,0.0712226966940375,0.876003319803176,0.06337537204716368,0.8791191011208233,0.9293532191448473,0.023346491446940384
8,0.1482615156565466,0.31706688724434323,-16965.664367301397,0.13600515351662842,0.7653333333333334,Linear,0.966891891891892,0.8894851083220686,0.06826185099442944,0.8803926595595782,0.05619328519049752,0.8849388839408234,0.9369180140857649,0.020749959511448837
9,0.14821654462573292,0.31711956404792974,-16965.279902037968,0.13626722246076425,0.768,Linear,0.9074324324324324,0.9049946331618277,0.054790571785051444,0.903507203529374,0.05177150507787223,0.9042509183456008,0.9436113350279566,0.018447589990013565
10,0.14818980503729998,0.31706768437862104,-16961.01338775548,0.13642304756818222,0.7666666666666666,Linear,0.9340708355414236,0.9034909320278927,0.057417251595468406,0.8995734931252537,0.05657494371725465,0.9015322125765731,0.9463997929249436,0.017542211629644942
11,0.14819942001850914,0.3171760491145855,-16979.580565213982,0.13636701620915437,0.7733333333333333,Linear,0.8896181896181895,0.9005080394432907,0.05804495959287078,0.892045257802259,0.052771379090137384,0.8962766486227747,0.9406208439690568,0.01947481781616809
12,0.14818759855213345,0.31708472429764745,-16953.95882068482,0.1364359058733483,0.768,Linear,0.923410174880763,0.9053631668718753,0.05532453432718889,0.9049324504470069,0.0507647429635914,0.9051478086594411,0.943598384976827,0.018435733557400552
13,0.14816140873289935,0.3170189770519364,-16949.19692144649,0.13658852719755651,0.768,Linear,0.9339828904534786,0.9188625210292585,0.04647703215750091,0.9188625210292585,0.04647703215750091,0.9188625210292585,0.950747072536189,0.016034985211291358
14,0.1482576409125707,0.3171005295769243,-16967.69070529335,0.13602773360972795,0.7680000000000001,Linear,0.9179592330056726,0.8791725144178144,0.07483105905409629,0.8670362779816903,0.0660234452754073,0.8731043961997523,0.9340726685821028,0.021646917103065495
15,0.14822076019445407,0.3171183739022629,-16977.295908142365,0.13624265620947526,0.764,Linear,0.9506713856713856,0.8926094054884802,0.06572100531369926,0.8862897968027074,0.05580558378836783,0.8894496011455938,0.9454941807094341,0.01780148773117915
16,0.1481855565053259,0.31702137722434975,-16955.399827274494,0.1364478059130196,0.7693333333333334,Linear,0.891735001255125,0.9034743591606306,0.05935323669130302,0.9020602282407099,0.05606570809754044,0.9027672937006703,0.9470626392705406,0.0172600402231293
17,0.14826006897579538,0.3171540053706151,-16965.8237342655,0.1360135840571367,0.7693333333333333,Linear,0.9068983268983268,0.9017026922569529,0.059787542375636736,0.8957484748925003,0.04735768022857011,0.8987255835747266,0.9383202032750189,0.020229850262624867
